Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),NFC貼紙定版,,,"Echo, Sunny",2024/06/24,未开始,,,,,24111高球協進會,Done,,,,,,NFC貼紙定版專案名稱為24111高球協進會，夥伴包括Echo、Sunny和小溫。狀態為完成，但文件內容為空。,,,,,,
,今皓-200萬,1.個人助理APP 2.智能IR(結合今皓IP) 3.爬蟲(爬影片+聲音-指定一名),,"Echo, Miles, Sunny, 亮廷",2024/06/20,未开始,,,,,報價中,Not started,,,,,,"Project Name: ""Innow-2 Million""
Status: Not started
Team Members: Echo, Miles, Sunny, Liangting
Project Description: Personal assistant app, intelligent IR integration with Innow IP, web scraping for videos and audio (specifically for one person).
Deadline: June 20, 2024.",,,,,,
,文策會,"2024年市場導向之文化科技內容支持計畫
提案計畫書(喬思齊公司資料)",,"Echo, Jean",2024/06/20,未开始,,,,,文策會,Not started,,,,,,文策會專案名稱為「2024年市場導向之文化科技內容支持計畫」，工作說明尚未開始。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),金流/ISO進度,"金流昨天葦捷說他去問,今天繼續追蹤",,Echo,2024/06/20,未开始,,,,,24101跳蛙,Not started,,,,,,No content,,,,,,
,問卷調查/輿情分析,,,Sunny,2024/06/20,未开始,,,,,洽談中,Not started,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),微調Justai 麥克風樣式,,,Ing,2024/06/19,未开始,,,,,24117 AI,Done,,,,,,沒有內容,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),整合實習同學們的爬蟲程式,,,姿樺,2024/06/20,未开始,,,,,24105爬蟲2,In progress,,,,,,沒有內容,,,,,,
宏捷維護 (https://www.notion.so/0fe7056c6f76410ea1802f7be65ae119?pvs=21),做QBoss環境,192.168.1.56,,Jason,2024/06/20,未开始,,,,,24205宏捷維護,Done,,,,,,完成了24205宏捷維護專案，與夥伴Jason一起建立了QBoss環境，工作說明為192.168.1.56。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統製作,,,"VC, 亮廷",2024/06/21,未开始,,,,,24111高球協進會,In progress,,,,,,No content,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),PR360 Bug排除,,,"Echo, 姿樺",2024/06/21,未开始,,,,,24115 (B)Project Room 360,Done,,,,,,Bug elimination for PR360 project (24115 (B)Project Room 360) has been completed by partners Echo and 姿樺.,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),南峰球場,下午嘉瑜約,,Echo,2024/06/21,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),NFC貼紙,"嘉瑜建議找一個看到這個詞(與AI有關)就會想到我們(禁用喬思齊,太lo)",,Echo,2024/06/21,未开始,,,,,24111高球協進會,Not started,,,,,,NFC貼紙專案名稱為24111高球協進會，工作說明是嘉瑜建議找一個與AI相關的詞，並禁用喬思齊。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Just AI 公版調整,,,Miles,2024/06/20,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,專案名稱: 24116公版AI智能客服開發,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票前台頁面呈現文案範本,,,Echo,2024/06/21,未开始,,,,,24111高球協進會,Not started,,,,,,專案名稱為24111高球協進會的電子投票前台頁面呈現文案範本尚未開始進行。夥伴為Echo。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),協助修改簡報,,,,2024/06/20,未开始,,,,,24117 AI,Not started,,,,,,協助修改簡報，專案名稱為24117 AI，合作夥伴為明婷。,,,,,,
,協助料理製作企劃書,,,,2024/06/20,未开始,,,,,洽談中,Not started,,,,,,協助料理製作企劃書，專案名稱為洽談中，目前尚未開始進行。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),14:00與實習同學會議,,,姿樺,2024/06/21,未开始,,,,,24105爬蟲2,Done,,,,,,No content,,,,,,
,素食料理影片,,,"Sunny, 小溫",2024/07/16,未开始,,,,,文策會,In progress,,,,,,No content,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),花蓮會議改善問題,前台未顯示週內日設定,,Jason,2024/06/20,未开始,,,,,24110號誌EEP,Done,,,,,,花蓮會議改善問題專案的工作說明是前台未顯示週內日設定，狀態為完成。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),長汎、揚昇機器人更新,,,Miles,2024/06/21,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,專案名稱為24116公版AI智能客服開發，長汎揚昇機器人更新尚未開始。夥伴為Miles。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統製作,,,"VC, 亮廷",2024/06/24,未开始,,,,,24111高球協進會,In progress,,,,,,No content,,,,,,
,第一梯次人工智慧技術服務機構能量登錄申請,https://www.cisanet.org.tw/News/Detail/5844?fbclid=IwZXh0bgNhZW0CMTEAAR0RA0FL5-ZV4YaYqpXHTSQc19MTSBThAvEQsWAZ5So3T__XynjpjxZkd_I_aem_VD3bmy990fMA_sZiWezm0A,,Echo,2024/06/24,未开始,,,,,洽談中,Not started,,,,,,第一梯次人工智慧技術服務機構能量登錄申請尚未開始，專案名稱為洽談中。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票後台測試,,,Echo,2024/06/28,未开始,,,,,24111高球協進會,Not started,,,,,,專案名稱為24111高球協進會的電子投票後台測試尚未開始。,,,,,,
傳陽 (https://www.notion.so/efdc4135450f4fdb9580608eb60438a2?pvs=21),固定成本計算,,,"Echo, Jean",2024/06/24,未开始,,,,,24309喬_其他,Not started,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Just AI麥克風收音圖,,,"Echo, Ing",2024/06/24,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,沒有內容,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓會議,"6/25 AM10：00,線上會議",,"Echo, Miles, Sunny, 亮廷",2024/06/25,未开始,,,,,24130 今皓AI,In progress,,,,,,"Meeting in progress for the 24130 今皓AI project with partners Echo, Miles, Sunny, and 亮廷. The meeting is scheduled for June 25th at 10:00 AM.",,,,,,
傳陽 (https://www.notion.so/efdc4135450f4fdb9580608eb60438a2?pvs=21),協助文策會文件排版,,,,2024/06/24,未开始,,,,,24309喬_其他,Not started,,,,,,沒有內容,,,,,,
,iii 嘉瑜,"時間：6/25（二）15:30 7A會議室
客戶：Andy哥
議題：
1. 連鎖加盟通路服務，如：預約系統、客服機器人🤖等…
———————-
2. 南峰球場提案討論",,Sunny,2024/06/25,未开始,,,,,iii,Not started,,,,,,"Meeting agenda for the iii project with partner Sunny and client Andy. Topics include chain franchise services such as reservation systems and customer service chatbots, as well as discussing the proposal for the Nanfeng Stadium on June 25, 2024.",,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票現場實測,PM0230在揚昇,,"Echo, Jason, Sam, Sunny, VC, 亮廷, 小溫",2024/07/03,未开始,,,,,24111高球協進會,Done,,,,,,專案名稱為24111高球協進會的電子投票現場實測尚未開始。夥伴包括Echo、Jason、Sam、Sunny、VC、亮廷和小溫。工作說明由PM0230在揚昇。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),整合實習同學們的爬蟲程式,,,姿樺,2024/06/24,未开始,,,,,24105爬蟲2,In progress,,,,,,No content,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康BOSS會議,PM01：30,,"Echo, Sunny",2024/06/27,未开始,,,,,24128 紘康官網,Not started,,,,,,尚未開始的紘康BOSS會議，夥伴包括Echo、Sunny和Sunway，專案名稱為24128紘康官網，工作說明為PM01：30，日期為2024年6月27日。,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),花蓮會議改善問題,前台未顯示週內日設定,,Jason,2024/06/21,未开始,,,,,24110號誌EEP,In progress,,,,,,花蓮會議改善問題專案的工作說明是關於前台未顯示週內日設定的問題。專案名稱為24110號誌EEP。,,,,,,
,AI健康蔬食助手計畫,,,Sam,2024/06/24,未开始,,,,,文策會,Not started,,,,,,No content,,,,,,
,南港歐立利,AM10：30南港軟體園區一期,,"Echo, Sunny",2024/07/04,未开始,,,,,iii,Not started,,,,,,南港歐立利專案的工作說明是在2024年7月4日上午10:30在南港軟體園區一期進行，夥伴包括Echo和Sunny。,,,,,,
,"1. 連鎖加盟通路服務，如：預約系統、客服機器人🤖等…
2. 南峰球場提案討論",時間：6/25（二）15:30 7A會議室,,Echo,2024/06/25,未开始,,,,,iii,Not started,,,,,,1. 連鎖加盟通路服務包括預約系統和客服機器人等。2. 南峰球場提案討論尚未開始，預計在2024年6月25日的會議室進行。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),後台2.1檔案新增上下架時間,可以嗎,,"Echo, Miles",2024/06/24,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,後台2.1檔案新增上下架時間專案尚未開始，夥伴為Echo和Miles。專案名稱為24116公版AI智能客服開發。工作說明欄位為空。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),前台收音麥克風,,,"Echo, Ing",2024/06/24,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,專案名稱為24116公版AI智能客服開發，目前狀態為未開始，夥伴包括Echo和Ing。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Justai 麥克風,先把效果放上做確認,,Ing,2024/06/25,未开始,,,,,24117 AI,Done,,,,,,No content,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),整合實習同學們的爬蟲程式,,,姿樺,2024/06/25,未开始,,,,,24105爬蟲2,Done,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),"高球客服機器人架構>模組二,KM堆疊",,,"Echo, Miles, Sam, Sunny",2024/06/26,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
,輿情前後台Figma,啟銘,,Sam,2024/06/25,未开始,,,,,iii,Not started,,,,,,"專案名稱為""iii""的輿情前後台Figma尚未開始，工作說明由夥伴Sam的啟銘負責。",,,,,,
,電子投票Demo,嘉瑜,,"Echo, Sam, Sunny",2024/06/25,未开始,,,,,iii,Not started,,,,,,沒有內容,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),三份企劃出提案初稿,,,Sam,2024/07/01,未开始,,,,,24122 花蓮獎項輔導案_建順,Not started,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),數字人測試,,,Miles,2024/06/25,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,專案名稱為24116公版AI智能客服開發，狀態為未開始，夥伴為Miles。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),宋教授聲音影片,,,Miles,2024/06/25,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),1.推廣模式(南峰球場)2.電子投票Demo,PM02：00,,"Echo, Sunny",2024/06/28,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
,輿情-地方創生Figma,啟銘,,"Echo, Sam",2024/06/26,未开始,,,,,iii,Not started,,,,,,"專案名稱為""iii""的輿情-地方創生Figma專案，目前尚未開始進行。夥伴包括Echo和Sam。工作說明由啟銘提供。",,,,,,
傳陽 (https://www.notion.so/efdc4135450f4fdb9580608eb60438a2?pvs=21),研究 https://threejs.org/,,,姿樺,2024/06/26,未开始,,,,,24309喬_其他,In progress,,,,,,没有内容,,,,,,
,iii 高球網站+客服機器人架構,,,Sam,2024/06/26,未开始,,,,,iii,Not started,,,2024年6月26日,,,No content,,,,,,
,網站前後台,需求分析,,,2024/06/26,未开始,,,,,島嶼生吐司,Not started,,,,,,網站前後台專案名稱為「島嶼生吐司」，目前尚未開始，工作說明為需求分析。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲二規格書 週五前,資安文件,,,2024/06/28,未开始,,,,,24105爬蟲2,Not started,,,,,,爬蟲二規格書週五前完成，專案名稱為24105爬蟲2，工作說明為資安文件。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統製作,,,"VC, 亮廷",2024/06/26,未开始,,,,,24111高球協進會,In progress,,,,,,没有内容,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統製作,,,"VC, 亮廷",2024/06/25,未开始,,,,,24111高球協進會,In progress,,,,,,No content,,,,,,
,iii地方創生Figma,,,Sam,2024/06/26,未开始,,,,,iii,Not started,,,2024年6月26日,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),JustAI 麥克風調整,,,Miles,2024/06/26,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,麥克風調整專案尚未開始，夥伴為Miles，專案名稱為24116公版AI智能客服開發。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統製作,,,"VC, 亮廷",2024/06/27,未开始,,,,,24111高球協進會,In progress,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統測試,,,Echo,2024/06/27,未开始,,,,,24111高球協進會,Not started,,,,,,專案名稱為24111高球協進會的投票系統測試尚未開始，詳細描述尚未提供。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2報價單,,,Echo,2024/06/27,未开始,,,,,24105爬蟲2,Not started,,,,,,專案名稱為24105爬蟲2，目前尚未開始進行。夥伴是Echo。描述部分沒有提供任何內容。,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),島嶼生吐司報價單(機器人+WEB前後台+ERP),ERP功能列表(參考QBoss),,"Echo, Sam",2024/06/27,未开始,,,,,島嶼生吐司,Not started,,,,,,島嶼生吐司專案的ERP功能列表尚未開始，參考QBoss。專案夥伴包括Echo和Sam。,,,,,,
傳陽 (https://www.notion.so/efdc4135450f4fdb9580608eb60438a2?pvs=21),研究 https://threejs.org/,,,姿樺,2024/06/27,未开始,,,,,24309喬_其他,In progress,,,,,,沒有內容,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),花蓮會議改善問題,案件工項顯示不正確,,Jason,2024/06/26,未开始,,,,,24110號誌EEP,In progress,,,,,,花蓮會議改善問題專案的工作說明是案件工項顯示不正確。,,,,,,
,報價單,,,"Echo, Sam",2024/06/27,未开始,,,,,島嶼生吐司,Not started,,,,,,報價單專案名稱為「島嶼生吐司」，夥伴包括Echo和Sam。尚未開始，詳細描述未提供。,,,,,,
,資料庫確認表單&資料庫分析,,,"Echo, Sam",2024/06/27,未开始,,,,,島嶼生吐司,Not started,,,,,,資料庫確認表單和資料庫分析專案名稱為「島嶼生吐司」，目前尚未開始進行。,,,,,,
智能櫃 (https://www.notion.so/61527d3376744f71bf03ad10f4eeb527?pvs=21),貝果、分局連絡,,,Sam,2024/06/27,未开始,,,,,24118 智能櫃,Not started,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),JustAI 輸入UI調整,,,Miles,2024/06/27,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),JustAI 選單建置調整,,,Miles,2024/06/27,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,No content,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2+問卷處理,,,VC,2024/06/28,未开始,,,,,iii,Not started,,,,,,"專案名稱為""iii""的爬蟲和問卷處理專案尚未開始，沒有提供詳細描述。",,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統,,,亮廷,2024/06/28,未开始,,,,,24111高球協進會,In progress,,,,,,No content,,,,,,
傳陽 (https://www.notion.so/efdc4135450f4fdb9580608eb60438a2?pvs=21),研究 https://threejs.org/,,,姿樺,2024/06/28,未开始,,,,,24309喬_其他,In progress,,,,,,沒有內容,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),project room會議,,,"Echo, 姿樺",2024/06/27,未开始,,,,,24115 (B)Project Room 360,Done,,,,,,專案名稱為24115 (B)Project Room 360的project room會議已完成，夥伴包括Echo和姿樺。,,,,,,
官網優化 (https://www.notion.so/ce8d9eaa7b974c30982bb908d98631fa?pvs=21),官網發想,,,Ing,2024/06/27,未开始,,,,,24120 公司官網改版,Not started,,,,,,專案名稱為24120公司官網改版，參考了https://ai.choozmo.com/ai-customer/info/網頁後，初步規劃了關於喬思齊、AI客服推廣、我們的服務、客戶實績和聯絡我們等項目。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),JustAI 密碼修改功能,,,Miles,2024/06/28,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),JustAI 語音送出進度圈圈,,,Miles,2024/06/30,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,Not started. Project name: 24116 AI Intelligent Customer Service Development. Description: N/A.,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統,,,亮廷,2024/07/01,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),PR360驗收會議+公文發票寄出,,,Echo,2024/06/28,未开始,,,,,24115 (B)Project Room 360,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),電子投票7/3資料設定,PM0200/協進會秘書長視訊設定,,Echo,2024/07/01,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),規格確認,,,Sam,2024/07/01,未开始,,,,,島嶼生吐司,Not started,,,,,,規格確認專案名稱為「島嶼生吐司」，狀態為未開始。,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),客服機器人規格書,,,Echo,2024/07/02,未开始,,,,,24104長汎,Not started,,,,,,No content,,,,0,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),7/8日15:30議價會議,客服機器人,,"Echo, Sam, Sunny",2024/07/08,未开始,,,,,24104長汎,Not started,,,,,,7/8日15:30議價會議專案名稱為24104長汎，工作說明為客服機器人。要求喬思齊廠商提供系統功能說明書、系統實施時程表、培訓計劃、技術支持和維護方案、詳細的報價單費用明細、說明時程和工時、數據安全和隱私保護方案。客服部提出的問題包括系統功能、客戶體驗、數據分析與報告、培訓與支持、系統靈活性與可擴展性、數據安全與隱私、系統開發時間、成本效益等。,,,,0,,
智能櫃 (https://www.notion.so/61527d3376744f71bf03ad10f4eeb527?pvs=21),安裝時程，IP，後台連線確認,,,Sam,2024/07/01,未开始,,,,,24118 智能櫃,Not started,,,,,,專案名稱為24118智能櫃，安裝時程、IP和後台連線確認尚未開始。夥伴為Sam。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2+問卷,,,VC,2024/07/01,未开始,,,,,iii,Not started,,,,,,尚未開始的爬蟲2+問卷專案，夥伴是VC，專案名稱是iii。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲資安文件電子檔,,,,2024/07/01,未开始,,,,,24105爬蟲2,Not started,,,,,,No content,,,,,,
其他 (https://www.notion.so/5d5b8ef2e6d04a239b308edbf37be88f?pvs=21),研究 https://threejs.org/,,,姿樺,2024/07/02,未开始,,,,,24309喬_其他,In progress,,,,,,沒有內容,,,,,,
智能櫃 (https://www.notion.so/61527d3376744f71bf03ad10f4eeb527?pvs=21),整理分局充電櫃配件交付廠商安裝,,,Jason,2024/06/28,未开始,,,,,24118 智能櫃,Done,,,,,,Installation of charging cabinet components for the organization has been completed. Partner: Jason. Project name: 24118 Smart Cabinet.,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),JustAI 對話框調整,,,Ing,2024/06/28,未开始,,,,,24117 AI,Not started,,,,,,"Project 24117 AI for JustAI conversation box adjustment, assigned to partner Ing, has not been started yet.",,,,,,
官網優化 (https://www.notion.so/ce8d9eaa7b974c30982bb908d98631fa?pvs=21),官網架構重新規劃,,,,2024/06/28,未开始,,,,,24120 公司官網改版,Not started,,,,,,專案名稱為24120公司官網改版，目前尚未開始進行，詳細描述尚未提供。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),透明翻譯機UI/UX,,,Echo,2024/07/01,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,專案名稱為24116公版AI智能客服開發的透明翻譯機UI/UX尚未開始，沒有任何描述。,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),補建縣政府業務單位、行政區,,,姿樺,2024/07/01,未开始,,,,,24115 (B)Project Room 360,Done,,,,,,没有内容,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),高球協進會第15屆選舉,整天,,"Echo, Sam, Sunny, VC, 亮廷",2024/07/22,未开始,,,,,24111高球協進會,Not started,,,,,,高球協進會第15屆選舉專案名稱為24111高球協進會，工作說明為整天。選舉尚未開始。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),投票系統,,,亮廷,2024/07/02,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),天下報獎,,,Sam,2024/07/02,未开始,,,,,24122 花蓮獎項輔導案_建順,Not started,,,,,,No content,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓會議,AM10:00,,"Echo, Miles",2024/07/02,未开始,,,,,24130 今皓AI,Not started,,,,,,"Meeting: 今皓會議
Status: Not started
Participants: Echo, Miles
Project Name: 24130 今皓AI
Work Description: AM10:00 on 2024/07/02",,,,,,
官網優化 (https://www.notion.so/ce8d9eaa7b974c30982bb908d98631fa?pvs=21),官網figma,,,Ing,2024/07/01,未开始,,,,,24120 公司官網改版,Not started,,,,,,No content,,,,,,
,松下會議,PM0200,,"Sunny, VC",2024/07/10,未开始,,,,,24129 松下VBA,Not started,,,,,,No content,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓IR機器人,QA已提供,,Echo,2024/07/02,未开始,,,,,,Not started,,,,,,No content,,,,,,
,更新Project Room到花蓮縣府環境,,,"Jason, 姿樺",2024/07/02,未开始,,,,,24115 (B)Project Room 360,Done,,,,,,No content,,,,,,
24109 原民會 (https://www.notion.so/24109-ad8af80db7bc41e899eef0bc46de6e6d?pvs=21),原民會資料交接,世新 PM0200,,Sunny,2024/07/11,未开始,,,,,,Not started,,,,,,原民會資料交接工作尚未開始，夥伴為Sunny，工作說明為世新PM0200。,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),劭郁APP會議,在公司AM1000,,"Echo, Miles, Sunny, 亮廷",2024/07/10,未开始,,,,,24130 今皓AI,Not started,,,,,,劭郁APP會議專案名稱為24130今皓AI，工作說明在公司AM1000進行。目前尚未開始，夥伴包括Echo、Miles、Sunny和亮廷。,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),業務單位需求訪談,會議記錄已email提供,,"Anita, Echo, Sam, Sunny",2024/07/31 10:00 (GMT+8) → 12:30,未开始,,,,,,Not started,,,,,,没有内容,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),請小溫做電子投票影片,1.腳本2.素材,,"Echo, 小溫",2024/07/10,未开始,,,,,,Done,,,,,,没有内容,,,,,,
,爬蟲2+問卷,,,VC,2024/07/03,未开始,,,,,iii,Not started,,,,,,專案名稱為iii的爬蟲2+問卷尚未開始進行。,,,,,,
,研究 https://threejs.org/,,,姿樺,2024/07/03,未开始,,,,,24309喬_其他,In progress,,,,,,没有内容,,,,,,
智能櫃 (https://www.notion.so/61527d3376744f71bf03ad10f4eeb527?pvs=21),刑大,,,Sam,2024/07/02,未开始,,,,,,Not started,,,,,,No content,,,,,,
瓦協MIS維護 (https://www.notion.so/MIS-623719e63db34c33999dee33ebca6e67?pvs=21),瓦協維護,,,Sam,2024/07/02,未开始,,,,,,Not started,,,,,,No content,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工季維護報告,,,Sam,2024/07/03,未开始,,,,,,Not started,,,,,,派工季維護報告尚未開始，夥伴是Sam。,,,,,,
好心肝 (https://www.notion.so/9edd5aca9d7f42c7873e67f6bcd4af6a?pvs=21),好心肝,7/9 AM10:30 好心肝服務中心一樓第一會議室（台北市公園路30之一號1樓）,,"Echo, Sunny",2024/07/09,未开始,,,,,,Not started,,,,,,好心肝服務中心將於2024/07/09上午10:30在台北市公園路30之一號1樓第一會議室舉行工作說明會。,,,,,,
